,Manga ID,English Title,Japanese Title,Type,Volumes,Chapters,Status,Published,Genres,Author,Serialization,Score,Ranked,Popularity,Members
179,84983,Unknown,父とヒゲゴリラと私,Manga,7,Unknown,Finished,"Feb  4, 2011 to Nov  5, 2018","['Comedy', 'Slice', 'Slice']","['Koike, Sadaji (Story & Art)']",Manga Club,8.38,187,2610,4502
180,87609,That Time I Got Reincarnated as a Slime,転生したらスライムだった件,Manga,Unknown,Unknown,Publishing,"Mar  26, 2015 to ?","['Fantasy', 'Shounen']","['Kawakami, Taiki (Art)', ' Fuse (Story)']",Shounen Sirius,8.38,188,128,57861
181,1414,Unknown,SKET DANCE,Manga,32,288,Finished,"Jul  14, 2007 to Jul  8, 2013","['Comedy', 'Drama', 'School', 'Shounen']","['Shinohara, Kenta (Story & Art)']",Shounen Jump (Weekly),8.38,182,419,22337
182,1649,Unknown,LIAR GAME,Manga,19,203,Finished,"Feb  17, 2005 to Jan  22, 2015","['Drama', 'Game', 'Psychological', 'Seinen']","['Kaitani, Shinobu (Story & Art)']",Young Jump,8.38,183,83,72067
183,2459,Unknown,困った時には星に聞け!,Manga,26,82,Finished,"Mar  24, 1997 to May  20, 2005","['Comedy', 'Drama', 'Shoujo', 'Shounen', 'Shounen']","['Abe, Miyuki (Story & Art)']",Ichiraci,8.38,180,1764,6458
184,3572,Gambling Apocalypse Kaiji,賭博黙示録カイジ,Manga,13,158,Finished,"Feb  10, 1996 to Jul  26, 1999","['Drama', 'Game', 'Seinen']","['Fukumoto, Nobuyuki (Story & Art)']",Young Magazine (Weekly),8.38,185,1265,8776
185,6520,Unknown,花と悪魔,Manga,10,58,Finished,"Oct  20, 2007 to Nov  20, 2010","['Comedy', 'Demons', 'Mystery', 'Drama', 'Fantasy', 'Historical', 'Romance', 'Shoujo', 'Supernatural']","['Oto, Hisamu (Story & Art)']",Hana to Yume,8.38,182,223,37017
186,14236,Unknown,LOVE SO LIFE,Manga,17,111,Finished,"Apr  15, 2008 to Jul  18, 2015","['Comedy', 'Drama', 'Romance', 'Shoujo', 'Slice', 'Slice']","['Kouchi, Kaede (Story & Art)']",Hana to Yume,8.38,183,166,46150
187,96792,Demon Slayer: Kimetsu no Yaiba,鬼滅の刃,Manga,Unknown,207,Finished,"Feb  15, 2016 to May  18, 2020","['Action', 'Demons', 'Historical', 'Shounen', 'Supernatural']","['Gotouge, Koyoharu (Story & Art)']",Shounen Jump (Weekly),8.38,184,27,119499
188,93753,The Case Study of Vanitas,ヴァニタスの手記〈カルテ〉,Manga,Unknown,Unknown,Publishing,"Dec  22, 2015 to ?","['Fantasy', 'Historical', 'Shounen', 'Vampire', 'Supernatural']","['Mochizuki, Jun (Story & Art)']",Gangan Joker,8.37,197,475,19944
189,100035,Atelier of Witch Hat,とんがり帽子のアトリエ,Manga,Unknown,Unknown,Publishing,"Jul  22, 2016 to ?","['Fantasy', 'Magic', 'Seinen']","['Shirahama, Kamome (Story & Art)']",Morning Two,8.37,190,600,16549
