,Rank,Country,Player,Accuracy,Play Count,Performance,SS,S,A
33,184,United States,Mathyu,97.79%,"160,934","12,862",139,"1,653","1,291"
34,185,Ukraine,Ayla,98.62%,"232,026","12,834",28,535,"1,269"
35,186,Russian Federation,Shime,96.99%,"67,732","12,833",14,335,454
36,187,Russian Federation,Red_Pixel,98.64%,"121,474","12,825",52,"1,035","1,296"
37,188,France,Snorlaax,97.88%,"100,439","12,818",28,603,"1,063"
38,189,Indonesia,LoidKun,97.00%,"184,451","12,801","1,011","3,434","1,686"
39,190,South Korea,eden1109,97.42%,"70,609","12,770",9,388,750
40,191,Switzerland,floppu-desu,95.97%,"70,346","12,762",25,352,340
41,192,Brazil,- DARK -,99.03%,"107,727","12,759",94,"1,057","1,455"
42,193,Canada,[rekt]N00bPWNEr,98.89%,"100,249","12,755",71,"1,172","2,565"
43,194,Hong Kong,Dragbit 3,96.24%,"88,372","12,754",250,"2,203","1,241"
44,195,South Korea,Ayamy,97.63%,"79,577","12,752",465,327,325
45,196,Puerto Rico,Unexpected,98.44%,"85,081","12,747",34,"1,172","1,993"
46,197,Denmark,Zakura,98.28%,"123,290","12,740",41,"1,013","1,264"
47,198,Chile,Fudy,96.95%,"67,452","12,734",10,595,664
48,199,Hungary,Kelathis,96.30%,"100,396","12,733",41,399,695
49,200,United States,Blairzey,98.85%,"262,781","12,733",236,"1,398","1,827"
0,201,Russian Federation,Rikiya,98.80%,"131,668","12,731",61,799,"1,381"
1,202,South Korea,[Karcher],98.32%,"111,283","12,730",143,"1,092",841
2,203,Poland,XVoIR,97.90%,"72,394","12,719",59,694,651
3,204,France,Musty,98.83%,"141,647","12,714",169,"2,233","1,875"
4,205,Germany,ruirui,98.28%,"95,205","12,707",52,779,966
5,206,Czech Republic,VilaZ,97.68%,"79,414","12,706",70,"1,551","1,840"
6,207,Brazil,MINHOCA LOKA,96.24%,"87,328","12,706",14,262,578
7,208,Poland,Piggey,98.98%,"158,742","12,703",184,"2,393","1,372"
8,209,Poland,Zain Sugieres,97.91%,"107,407","12,703",32,656,"1,136"
9,210,Russian Federation,AxewB,98.63%,"124,989","12,676",72,"1,186","1,039"
10,211,Italy,Spazza17,98.93%,"105,795","12,671",329,"2,607","1,920"
11,212,Germany,worst dt player,98.29%,"171,567","12,669",179,"1,067","1,653"
12,213,Russian Federation,MyAngelShime,96.21%,"64,782","12,648",12,305,617
13,214,Russian Federation,talala,97.72%,"221,388","12,630",159,"2,715","2,112"
14,215,New Zealand,Zoomer,97.39%,"127,206","12,626",24,460,902
15,216,Japan,----,96.45%,"127,616","12,624",29,961,"1,377"
16,217,Czech Republic,Avenito,98.42%,"113,866","12,619",50,610,931
17,218,Poland,WubWoofWolf,99.15%,"291,145","12,613","22,826","13,088","3,831"
18,219,South Korea,[ nong422 ],98.06%,"83,017","12,598",94,"1,003",752
19,220,Canada,WakaiYuki,97.66%,"104,839","12,598",155,919,"1,063"
20,221,United States,ethan -,98.46%,"93,639","12,584",103,"1,218","1,699"
21,222,Chile,Freestulin,97.95%,"16,993","12,583",16,202,449
22,223,Norway,Fjell,98.31%,"107,668","12,582",90,"1,045","1,346"
23,224,United States,Skill,99.47%,"131,961","12,581",612,"2,479","1,471"
24,225,Sweden,[ Blue ],97.86%,"115,886","12,578",98,"1,107","1,391"
25,226,Australia,Milo Milkshake,98.61%,"107,197","12,562",78,"1,490","1,733"
26,227,Canada,xootynator,98.90%,"58,064","12,561",86,868,872
27,228,Hong Kong,a12456,94.92%,"158,215","12,559",40,"3,556","1,263"
28,229,Romania,Rohulk,99.49%,"56,120","12,548",103,"2,544","2,687"
29,230,Germany,takoz53,98.84%,"30,209","12,525",39,574,534
30,231,Belarus,Blazink,96.74%,"91,236","12,522",2,137,707
31,232,France,Thundur,96.98%,"235,182","12,522",351,"1,844","2,729"
32,233,Azerbaijan,TrueC1e4rFanboy,97.48%,"66,126","12,505",25,173,305
33,234,Poland,_demo,97.37%,"151,783","12,497",266,"1,816","2,829"
34,235,Canada,Devon,97.01%,"171,134","12,494",22,772,"1,240"
35,236,United States,Javen,98.35%,"69,926","12,493",30,292,476
36,237,Canada,Fobxx,99.01%,"108,744","12,491",21,367,527
37,238,France,ThePooN 2,99.32%,"160,527","12,491",251,"1,538","1,752"
38,239,Taiwan,975250450,97.00%,"8,709","12,474",0,120,195
39,240,United States,Medicals,98.24%,"74,949","12,473",25,771,"1,041"
40,241,South Korea,Yaong,99.44%,"115,764","12,472","1,240","3,422",513
41,242,Germany,Knalli,98.97%,"68,208","12,467",170,"1,715","1,896"
42,243,France,JustMan,99.11%,"76,519","12,460",352,"1,806","1,086"
43,244,Netherlands,Viveliam,99.32%,"236,077","12,452",98,"3,017","2,578"
44,245,Russian Federation,Hasawa Kraenes,99.09%,"91,295","12,447",9,"1,239","1,716"
45,246,Taiwan,GfMRT,99.01%,"123,569","12,445",925,"5,400",934
46,247,Austria,Sparkxei,97.17%,"136,769","12,445",25,"1,050","1,396"
47,248,Germany,Ephix,97.94%,"148,916","12,444",0,"1,895",422
48,249,Australia,ikaNyai,95.02%,"75,198","12,441",329,459,843
49,250,Chile,Negaces,98.21%,"147,026","12,439",77,935,"1,494"
0,251,Hong Kong,NeruNeru,96.79%,"139,341","12,434",141,"2,173",884
1,252,United States,Ronk,96.51%,"85,890","12,428",12,652,"1,051"
2,253,Australia,Preston,98.64%,"50,497","12,416",287,"1,212",646
3,254,Germany,Angeldeneja,97.59%,"99,238","12,413",44,483,806
4,255,Austria,Myst1k,98.59%,"152,800","12,411",144,"1,793","1,563"
5,256,United States,Tj7223,99.63%,"85,155","12,398",6,489,597
6,257,Spain,Fichi,98.03%,"161,967","12,398",107,793,820
7,258,South Korea,SiNon,97.05%,"148,136","12,382",113,854,"1,373"
8,259,Japan,dectopia,97.78%,"50,131","12,365",49,528,"1,123"
